0,1,2,3,4,5,6,7,8,9,10,11
5.090021006270071,0.0,-0.0,0.0,0.0,0.0,,,,,,
11.0,0.0,0.0,-0.0,0.0,-0.0,,,,,,
11.0,0.0,11.0,-0.0,0.0,-0.0,,,,,,
11.0,0.0,11.0,11.0,0.0,8.996080119761862,,,,,,
11.0,0.0,0.0,0.0,0.0,-0.0,,,,,,
11.0,0.0,0.0,0.0,0.0,-0.0,,,,,,
0.0,-0.0,0.0,0.0,0.0,-0.0,,,,,,
0.0,-0.0,0.0,11.0,0.0,11.0,,,,,,
0.0,-0.0,0.0,-0.0,0.0,0.0,,,,,,
0.0,11.0,0.0,11.0,0.0,11.0,,,,,,
0.0,-0.0,0.0,4.14,0.0,-0.0,,,,,,
0.0,-0.0,0.0,8.78379200164751,0.0,4.899919880238122,,,,,,
0.0,11.0,0.0,11.0,0.0,11.0,,,,,,
0.0,0.0,0.0,11.0,0.0,11.0,,,,,,
0.0,4.14,0.0,0.0,4.14,11.0,,,,,,
0.0,9.755999999999986,0.0,0.0,8.915999999999984,11.0,,,,,,
0.0,11.0,0.0,0.0,11.0,0.0,,,,,,
0.0,11.0,0.0,0.0,11.0,0.0,,,,,,
0.0,11.0,0.0,0.0,11.0,0.0,,,,,,
0.0,-0.0,0.0,0.0,-0.0,0.0,,,,,,
0.0,-0.0,0.0,0.0,-0.0,0.0,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
0.0,0.0,0.0,-0.0,-0.0,0.0,,,,,,
0.0,0.0,0.0,-0.0,-0.0,0.0,,,,,,
0.0,0.0,11.0,-0.0,-0.0,0.0,,,,,,
0.0,0.0,11.0,-0.0,-0.0,0.0,,,,,,
11.0,0.0,11.0,-0.0,-0.0,-0.0,,,,,,
11.0,0.0,11.0,-0.0,-0.0,-0.0,,,,,,
-0.0,0.0,-0.0,-0.0,0.0,-0.0,,,,,,
8.540000000000006,0.0,10.356006553206411,0.0,0.0,-0.0,,,,,,
11.0,0.0,11.0,0.0,0.0,-0.0,,,,,,
11.0,-0.0,0.0,0.0,0.0,-0.0,,,,,,
-0.0,0.0,-0.0,0.0,0.0,0.0,,,,,,
0.0,0.0,-0.0,0.0,0.0,0.0,,,,,,
-0.0,0.0,-0.0,0.0,0.0,0.0,,,,,,
-0.0,0.0,-0.0,0.0,0.0,0.0,,,,,,
-0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
-0.0,0.0,-0.0,0.0,0.0,0.0,,,,,,
4.139999999999993,0.0,-0.0,0.0,0.0,-0.0,,,,,,
11.0,0.0,0.0,7.415673047038637,11.0,11.0,,,,,,
-0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
0.0,-0.0,0.0,0.0,-0.0,-0.0,,,,,,
0.0,-0.0,0.0,0.0,-0.0,11.0,,,,,,
0.0,11.0,0.0,0.0,11.0,0.0,,,,,,
0.0,-0.0,0.0,0.0,-0.0,0.0,,,,,,
0.0,-0.0,0.0,0.0,-0.0,0.0,,,,,,
0.0,11.0,0.0,0.0,0.0,0.0,,,,,,
-0.0,11.0,-0.0,-0.0,-0.0,-0.0,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
-0.0,-0.0,11.0,-0.0,11.0,-0.0,,,,,,
11.0,-0.0,11.0,-0.0,11.0,11.0,,,,,,
4.140000000000011,0.0,-0.0,0.0,-0.0,-0.0,,,,,,
11.0,-0.0,11.0,-0.0,11.0,4.140000000000087,,,,,,
11.0,-0.0,11.0,-0.0,4.954907946467272,-0.0,,,,,,
11.0,-0.0,10.69420198783642,-0.0,11.0,-0.0,,,,,,
11.0,11.0,-0.0,-0.0,-0.0,11.0,,,,,,
11.0,11.0,-0.0,-0.0,-0.0,11.0,,,,,,
-0.0,11.0,-0.0,-0.0,-0.0,-0.0,,,,,,
-0.0,-0.0,9.685798012163739,-0.0,-0.0,-0.0,,,,,,
-0.0,8.252148359331114,11.0,-0.0,-0.0,-0.0,,,,,,
9.380000000000155,-0.0,4.1400000000000485,-0.0,-0.0,-0.0,,,,,,
