TimeIndex,Grid,PVPower,Gebaeudelast,Strompreis,CO2,Charging_1,SOC_to_charge_1,Charging_2,SOC_to_charge_2,Charging_3,SOC_to_charge_3,Charging_4,SOC_to_charge_4,Charging_5,SOC_to_charge_5,Charging_6,SOC_to_charge_6,Charging_7,SOC_to_charge_7,Charging_8,SOC_to_charge_8,Charging_9,SOC_to_charge_9,Charging_10,SOC_to_charge_10,Charging_11,SOC_to_charge_11,Charging_12,SOC_to_charge_12
1555279200.0,138.92,0.0,12.823976,26.807,80.32429456,1.0,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,1.0,
1555280100.0,138.92,0.0,11.648082,26.807,79.89644013,1.0,,,,1.0,,,,1.0,,,,,,1.0,,1.0,,1.0,,,,1.0,
1555281000.0,138.92,0.0,11.648082,26.807,81.88037279,1.0,,,,1.0,,1.0,,1.0,,,,,,1.0,,1.0,,1.0,,1.0,,1.0,
1555281900.0,138.92,0.0,11.781967999999999,26.807,80.81941372,1.0,,,,1.0,,1.0,,1.0,,1.0,,,,1.0,0.054545454545454536,1.0,,1.0,,1.0,,1.0,0.054545454545454536
1555282800.0,138.92,0.0,11.781967999999999,26.807,80.03155223,1.0,,,,1.0,,1.0,,1.0,,1.0,,,,,,1.0,0.06818181818181818,1.0,,1.0,,,
1555283700.0,138.92,0.0,11.781967999999999,26.807,79.67114732,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,,,,,1.0,,1.0,,,
1555284600.0,138.92,0.0,11.915854,26.807,78.47064362,1.0,,1.0,,1.0,,1.0,,1.0,0.09545454545454543,1.0,,1.0,,,,,,1.0,,1.0,,,
1555285500.0,138.92,0.0,11.915854,26.807,78.45770282,1.0,,1.0,,1.0,,1.0,,,,1.0,,1.0,,,,,,1.0,,1.0,,,
1555286400.0,138.92,0.0,12.04974,26.807,76.71351924,1.0,0.12272727272727273,1.0,,1.0,,1.0,,,,1.0,,1.0,,,,,,1.0,,1.0,,,
1555287300.0,138.92,0.0,12.183626,26.807,76.32128092,,,1.0,,1.0,,1.0,,,,1.0,,1.0,,,,,,1.0,,1.0,,,
1555288200.0,138.92,0.0,12.183626,26.807,76.46295815,,,1.0,,1.0,,1.0,,,,1.0,,1.0,,1.0,,,,1.0,,1.0,,1.0,
1555289100.0,138.92,0.0,12.183626,26.807,75.68440176,,,1.0,,1.0,0.15,1.0,,,,1.0,,1.0,,1.0,,1.0,,1.0,0.15,1.0,,1.0,
1555290000.0,138.92,0.0,11.915854,26.807,75.06045615,,,1.0,,,,1.0,0.15,,,1.0,,1.0,,1.0,,1.0,,,,1.0,0.15,1.0,
1555290900.0,138.92,0.0,11.648082,26.807,74.46482364,,,1.0,,,,,,1.0,,1.0,0.15,1.0,,1.0,,1.0,,,,,,1.0,
1555291800.0,138.92,0.007328810707524671,11.38031,26.807,74.49319405,,,1.0,,,,,,1.0,,,,1.0,,1.0,,1.0,,,,,,1.0,
1555292700.0,138.92,0.014657621415049341,11.112538,26.807,74.64257539,1.0,,1.0,0.15,,,,,1.0,,,,1.0,0.15,1.0,,1.0,,,,,,1.0,
1555293600.0,138.92,0.06962370172148435,11.112538,26.807,74.40708874,1.0,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,1.0,
1555294500.0,138.92,0.17955586233435444,11.112538,26.807,75.40280895,1.0,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,1.0,
1555295400.0,138.92,0.875792879549198,11.112538,26.807,74.35457170000001,1.0,,,,1.0,,,,1.0,,,,,,1.0,,1.0,,1.0,,,,1.0,
1555296300.0,138.92,1.5427146539339431,11.112538,26.807,75.77563452,1.0,,,,1.0,,1.0,,1.0,,,,,,1.0,,1.0,,1.0,,1.0,,1.0,
1555297200.0,138.92,3.8622832428655007,11.246424000000001,26.807,77.91601083,1.0,,,,1.0,,1.0,,1.0,,1.0,,,,1.0,0.15,1.0,,1.0,,1.0,,1.0,0.15
1555298100.0,138.92,4.9909200918242975,11.246424000000001,26.807,80.72316951,1.0,,,,1.0,,1.0,,1.0,,1.0,,,,,,1.0,0.15,1.0,,1.0,,,
1555299000.0,138.92,7.640285162594466,11.38031,26.807,85.06590115,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,,,,,1.0,,1.0,,,
1555299900.0,138.92,9.157348979052074,11.514195999999998,26.807,87.90684897,1.0,,1.0,,1.0,,1.0,,1.0,0.15,1.0,,1.0,,,,,,1.0,,1.0,,,
1555300800.0,138.92,12.601890011588669,11.915854,26.807,89.89164869,1.0,,1.0,,1.0,,1.0,,,,1.0,,1.0,,,,,,1.0,,1.0,,,
1555301700.0,138.92,14.719916306063295,12.317511999999999,26.807,92.65028218,1.0,0.15,1.0,,1.0,,1.0,,,,1.0,,1.0,,,,,,1.0,,1.0,,,
