TimeIndex,Grid,PVPower,Gebaeudelast,Strompreis,CO2
1555279200.0,138.92,0.0,12.823976,26.807,80.32429456
1555280100.0,138.92,0.0,11.648082,26.807,79.89644013
1555281000.0,138.92,0.0,11.648082,26.807,81.88037279
1555281900.0,138.92,0.0,11.781967999999999,26.807,80.81941372
1555282800.0,138.92,0.0,11.781967999999999,26.807,80.03155223
1555283700.0,138.92,0.0,11.781967999999999,26.807,79.67114732
1555284600.0,138.92,0.0,11.915854,26.807,78.47064362
1555285500.0,138.92,0.0,11.915854,26.807,78.45770282
1555286400.0,138.92,0.0,12.04974,26.807,76.71351924
1555287300.0,138.92,0.0,12.183626,26.807,76.32128092
1555288200.0,138.92,0.0,12.183626,26.807,76.46295815
1555289100.0,138.92,0.0,12.183626,26.807,75.68440176
1555290000.0,138.92,0.0,11.915854,26.807,75.06045615
1555290900.0,138.92,0.0,11.648082,26.807,74.46482364
1555291800.0,138.92,0.007328810707524671,11.38031,26.807,74.49319405
1555292700.0,138.92,0.014657621415049341,11.112538,26.807,74.64257539
1555293600.0,138.92,0.06962370172148435,11.112538,26.807,74.40708874
1555294500.0,138.92,0.17955586233435444,11.112538,26.807,75.40280895
1555295400.0,138.92,0.875792879549198,11.112538,26.807,74.35457170000001
1555296300.0,138.92,1.5427146539339431,11.112538,26.807,75.77563452
1555297200.0,138.92,3.8622832428655007,11.246424000000001,26.807,77.91601083
1555298100.0,138.92,4.9909200918242975,11.246424000000001,26.807,80.72316951
1555299000.0,138.92,7.640285162594466,11.38031,26.807,85.06590115
1555299900.0,138.92,9.157348979052074,11.514195999999998,26.807,87.90684897
1555300800.0,138.92,12.601890011588669,11.915854,26.807,89.89164869
1555301700.0,138.92,14.719916306063295,12.317511999999999,26.807,92.65028218
1555302600.0,136.16,17.021162868226043,12.71917,26.807,96.97095287
1555303500.0,136.16,18.098498042232176,12.986941999999999,26.807,100.5777277
1555304400.0,138.92,19.10254510916305,13.120828,26.807,97.90220875
1555305300.0,138.92,20.363100550857293,12.986941999999999,26.807,96.14775846
1555306200.0,138.92,22.56540816846845,12.986941999999999,26.807,94.64418399
1555307100.0,138.92,22.909862271722112,13.120828,26.807,93.83070486
1555308000.0,136.16,22.30889979370509,13.3886,26.807,95.80279479
1555308900.0,136.16,23.87726528511537,13.790257999999998,26.807,93.81112074
1555309800.0,136.16,26.471664275579105,14.058029999999999,26.807,91.10498493
1555310700.0,136.16,26.061250875957732,14.191916,26.807,84.571979
1555311600.0,136.16,28.377155059535518,14.058029999999999,26.807,75.54731336
1555312500.0,138.92,30.64908637886817,13.790257999999998,26.807,67.80354909
1555313400.0,136.16,31.880326577732305,13.3886,26.807,62.27863381
1555314300.0,130.64,36.22631132729443,12.986941999999999,26.807,53.65246925
1555315200.0,130.64,34.005681682914464,12.853056,26.807,50.90646206
1555316100.0,122.35999999999999,34.82650848215723,12.853056,26.807,50.24209359
1555317000.0,125.11999999999999,35.845213170503165,12.853056,26.807,48.20327083
1555317900.0,130.64,36.431518027105135,12.986941999999999,26.807,47.28494646
1555318800.0,130.64,33.59526828329307,12.986941999999999,26.807,45.06953128
1555319700.0,133.39999999999998,37.27433125847047,12.986941999999999,26.807,44.06109115
1555320600.0,136.16,37.19371434068769,12.853056,26.807,42.95083794
1555321500.0,133.39999999999998,36.299599434369675,12.853056,26.807,42.03783319
1555322400.0,136.16,35.84154876514939,12.853056,26.807,41.20898234
1555323300.0,136.16,37.321968528069384,12.71917,26.807,40.78182375
1555324200.0,133.39999999999998,34.15225789706496,12.71917,26.807,40.3054474
1555325100.0,133.39999999999998,32.6205364591923,12.71917,26.807,40.25113317
1555326000.0,133.39999999999998,29.13568696776432,12.71917,26.807,39.82603528
1555326900.0,130.64,29.883225659931835,12.71917,26.807,39.50454023
1555327800.0,133.39999999999998,28.003385713451767,12.71917,26.807,39.37779757
1555328700.0,136.16,29.725656229720048,12.853056,26.807,39.45265985
1555329600.0,133.39999999999998,28.084002631234533,12.986941999999999,26.807,39.21882494
1555330500.0,136.16,26.74283027175753,12.986941999999999,26.807,39.19173554
1555331400.0,133.39999999999998,23.840621231577753,12.986941999999999,26.807,39.416805200000006
1555332300.0,130.64,21.13629008050114,12.986941999999999,26.807,39.84281077
1555333200.0,127.88,17.89329134242148,12.986941999999999,26.807,40.05390256
1555334100.0,127.88,18.22308782426009,12.853056,26.807,41.37583372
1555335000.0,133.39999999999998,15.262248298420124,12.71917,26.807,46.53998441
1555335900.0,133.39999999999998,13.884431885405483,12.585284,26.807,48.92954519
1555336800.0,127.88,11.209415977158985,12.585284,26.807,50.27192947
1555337700.0,125.11999999999999,9.904887671219587,12.71917,26.807,52.01587302
1555338600.0,130.64,7.339803923585956,12.853056,26.807,53.97359405
1555339500.0,130.64,6.3870585316077495,12.986941999999999,26.807,57.84779933
1555340400.0,133.39999999999998,4.313005101378267,12.986941999999999,26.807,61.59057361
1555341300.0,133.39999999999998,3.499507112843029,13.120828,26.807,64.24399877
1555342200.0,138.92,1.6673044359618618,13.254714000000002,26.807,68.67122922
1555343100.0,138.92,1.0663419579448394,13.254714000000002,26.807,72.03121216
1555344000.0,136.16,0.3151388604235608,13.254714000000002,26.807,76.23845416
1555344900.0,138.92,0.08061691778277137,13.3886,26.807,78.27710059
1555345800.0,138.92,0.0,13.3886,26.807,80.63312649
1555346700.0,138.92,0.0,13.522486,26.807,82.72345402
1555347600.0,138.92,0.0,13.790257999999998,26.807,84.24251278
1555348500.0,138.92,0.0,14.058029999999999,26.807,85.88955121
